Feature,Count,Mean,Std,Median,IQR,Min,Max,Skewness
location_x,61622,58.154,28.013,57.5,40.6,0.1,120.0,-0.02
location_y,61622,39.901,23.365,40.0,40.8,0.1,80.0,0.017
dist_to_goal,61622,67.229,25.216,65.963,36.437,0.2,124.253,0.083
angle_to_goal,61622,0.38,0.295,0.323,0.381,0.0,1.549,1.086
duration,45294,1.254,1.278,1.049,1.313,0.0,26.949,3.205
pass_length,17821,20.594,13.792,17.108,14.248,0.0,104.458,1.781
pass_angle,17821,0.025,1.592,0.0,2.565,-3.137,3.142,0.011
shot_statsbomb_xg,428,0.194,0.265,0.069,0.135,0.006,0.852,1.609
teammates_visible,53207,6.631,1.91,7.0,3.0,0.0,10.0,-0.421
opponents_visible,53207,7.595,2.297,8.0,4.0,0.0,11.0,-0.637
total_visible,53207,14.226,3.653,15.0,5.0,0.0,21.0,-0.605
closest_opp_dist,53130,8.75,11.775,5.569,7.764,0.0,129.201,4.409
closest_teammate_dist,53115,12.66,11.034,10.653,7.127,0.17,113.181,4.446
opponents_within_3m,53207,0.341,0.555,0.0,1.0,0.0,5.0,1.555
opponents_within_5m,53207,0.65,0.788,0.0,1.0,0.0,7.0,1.317
defenders_in_goal_cone,53207,0.343,0.616,0.0,1.0,0.0,7.0,2.043
forward_passing_options,53207,3.561,2.388,3.0,3.0,0.0,10.0,0.273
